source,destination
005510017,005518036
005510033,005517228
005501289,005501362
005503269,005503350
005511387,005514019
002232030,005510017
002232030,005510033
002232030,008101003
002238000,005510033
002238000,005514019
002238010,005514175
002238010,008101003
004301974,005501289
004301974,005501362
004301974,005614576
004301974,005614616
004302246,004302287
004302246,004302329
004302246,004302436
004302246,004302725
004302246,004305538
004302246,005501016
004302246,005501024
004302246,005501289
004302246,005501362
004302246,005502170
004302246,005502576
004302246,005503624
004302246,005503996
004302246,005504747
004302246,005504895
004302246,005505371
004302246,005507294
004302246,005510017
004302287,004302246
004302287,004302725
004302329,004302246
004302329,004302725
004302329,005501024
004302329,005510017
004302436,004302246
004302667,008101003
004302667,008102974
004302725,004302246
004302725,004302287
004302725,004302329
004302725,005501024
004302725,005501289
004302725,005504895
004302725,005510017
004305314,005504895
004305314,005505371
004305538,004302246
005103865,005510017
005103865,005510033
005310017,005510017
005310017,005510033
005310017,008101003
005310770,005510017
005310770,005510033
005311906,005510017
005311906,005510033
005321834,005510017
005321834,005510033
005330691,005510017
005330691,005510173
005332015,005510017
005332015,005510033
005332663,005513862
005335407,005518036
005335407,005518465
005335407,005518747
005341638,005513912
005341638,008101003
005345452,005513912
005433295,005510033
005433295,005510140
005433425,005510017
005433425,005510033
005455659,005510033
005457076,005510017
005457076,005510033
005457076,005510140
005501016,004302246
005501016,005501131
005501016,005501222
005501016,005501289
005501016,005501768
005501016,005502170
005501016,005503160
005501016,005503178
005501016,005503269
005501016,005503350
005501016,005503491
005501016,005503566
005501016,005503624
005501016,005503947
005501016,005503996
005501016,005504416
005501016,005504598
005501016,005504747
005501016,005504895
005501016,005505074
005501016,005505835
005501016,005505876
005501016,005505926
005501016,005505983
005501016,005506189
005501016,005506502
005501016,005507294
005501016,005516709
005501016,007872480
005501016,007942300
005501024,004302246
005501024,004302329
005501024,004302725
005501024,005501081
005501024,005501289
005501024,005503160
005501024,005503491
005501024,005504416
005501024,005505835
005501024,005506288
005501024,005506320
005501024,005506437
005501024,005507294
005501024,005510173
005501024,005516709
005501024,007872480
005501024,007942300
005501024,008020347
005501024,008101003
005501024,008101114
005501024,008103171
005501024,008503000
005501081,005501024
005501131,005501016
005501131,005501222
005501131,005501289
005501131,005501362
005501131,005501768
005501172,005501511
005501222,005501016
005501222,005501131
005501222,005501289
005501222,005501511
005501222,005503269
005501289,004301974
005501289,004302246
005501289,004302725
005501289,005501016
005501289,005501024
005501289,005501131
005501289,005501222
005501289,005501347
005501289,005501362
005501289,005502170
005501289,005502576
005501289,005502972
005501289,005503566
005501289,005503947
005501289,005504747
005501289,005504895
005501289,005506288
005501289,005507294
005501289,005510017
005501289,008101003
005501289,008102974
005501347,005501289
005501362,004301974
005501362,004302246
005501362,005501131
005501362,005501289
005501362,005502576
005501362,005510017
005501362,005614576
005501362,005614616
005501362,008101003
005501362,008102974
005501362,008102976
005501404,005510033
005501404,005510074
005501438,005510033
005501438,005510074
005501453,005510033
005501453,005510207
005501511,005501172
005501511,005501222
005501511,005501578
005501511,005510033
005501511,005510124
005501578,005501511
005501768,005501016
005501768,005501131
005502121,005502170
005502121,005502576
005502170,004302246
005502170,005501016
005502170,005501289
005502170,005502121
005502170,005503947
005502170,005503996
005502170,005504465
005502170,005504598
005502170,005504747
005502170,005504895
005502576,004302246
005502576,005501289
005502576,005501362
005502576,005502121
005502576,005503079
005502972,005501289
005503079,005502576
005503160,005501016
005503160,005501024
005503160,005510173
005503178,005501016
005503178,005510173
005503269,005501016
005503269,005501222
005503269,005503350
005503269,005503566
005503269,005503947
005503269,005504416
005503269,005504598
005503269,005504747
005503269,005505876
005503269,005505926
005503269,005507146
005503269,005510173
005503269,005516709
005503350,005501016
005503350,005503269
005503350,005503491
005503350,005503624
005503350,005504747
005503350,005506288
005503350,005508342
005503350,005514019
005503491,005501016
005503491,005501024
005503491,005503350
005503491,005504747
005503491,005506288
005503491,005508458
005503491,005510173
005503491,005510504
005503491,005511387
005503491,005513748
005503491,005514175
005503491,005517228
005503566,005501016
005503566,005501289
005503566,005503269
005503566,005503624
005503566,005504598
005503566,005506288
005503624,004302246
005503624,005501016
005503624,005503350
005503624,005503566
005503624,005504895
005503624,005505371
005503624,005505660
005503624,005506189
005503624,005506288
005503624,005506437
005503624,005507294
005503947,005501016
005503947,005501289
005503947,005502170
005503947,005503269
005503996,004302246
005503996,005501016
005503996,005502170
005503996,005504895
005503996,005505074
005503996,007942300
005504309,005513748
005504309,005514175
005504416,005501016
005504416,005501024
005504416,005503269
005504416,005504598
005504465,005502170
005504465,005504747
005504598,005501016
005504598,005502170
005504598,005503269
005504598,005503566
005504598,005504416
005504598,005504689
005504598,005504747
005504598,005506288
005504598,005507294
005504598,005518036
005504663,005504689
005504689,005504598
005504689,005504663
005504689,005504747
005504747,004302246
005504747,005501016
005504747,005501289
005504747,005502170
005504747,005503269
005504747,005503350
005504747,005503491
005504747,005504465
005504747,005504598
005504747,005504689
005504895,004302246
005504895,004302725
005504895,004305314
005504895,005501016
005504895,005501289
005504895,005502170
005504895,005503624
005504895,005503996
005504895,005504994
005504895,005505074
005504895,005505371
005504895,007943777
005504994,005504895
005505074,005501016
005505074,005503996
005505074,005504895
005505371,004302246
005505371,004305314
005505371,005503624
005505371,005504895
005505371,005507294
005505660,005503624
005505660,005507260
005505660,005507294
005505835,005501016
005505835,005501024
005505876,005501016
005505876,005503269
005505876,005505983
005505876,005506189
005505876,005506502
005505926,005501016
005505926,005503269
005505926,005506189
005505926,005506668
005505926,005506767
005505926,005507146
005505926,005516709
005505967,005506502
005505983,005501016
005505983,005505876
005506189,005501016
005506189,005503624
005506189,005505876
005506189,005505926
005506189,005506288
005506189,005506437
005506189,005507146
005506189,005507211
005506189,005507260
005506189,005507294
005506189,005516709
005506288,005501024
005506288,005501289
005506288,005503350
005506288,005503491
005506288,005503566
005506288,005503624
005506288,005504598
005506288,005506189
005506288,005506379
005506288,005506437
005506288,005508276
005506288,005508284
005506288,005508318
005506288,005508342
005506288,005510017
005506320,005501024
005506379,005506288
005506437,005501024
005506437,005503624
005506437,005506189
005506437,005506288
005506437,005510017
005506502,005501016
005506502,005505876
005506502,005505967
005506668,005505926
005506684,005506767
005506684,005506783
005506684,005516709
005506742,005506767
005506742,005506783
005506742,005507146
005506742,005516709
005506767,005505926
005506767,005506684
005506767,005506742
005506767,005506783
005506767,005507146
005506767,005516709
005506783,005506684
005506783,005506742
005506783,005506767
005507146,005503269
005507146,005505926
005507146,005506189
005507146,005506742
005507146,005506767
005507146,005516709
005507211,005506189
005507245,005507260
005507260,005505660
005507260,005506189
005507260,005507245
005507260,005507294
005507260,005508078
005507294,004302246
005507294,005501016
005507294,005501024
005507294,005501289
005507294,005503624
005507294,005504598
005507294,005505371
005507294,005505660
005507294,005506189
005507294,005507260
005507294,005507468
005507294,005507476
005507294,005507781
005507294,005510017
005507294,007871705
005507468,005507294
005507468,005507476
005507468,005507781
005507468,007871705
005507476,005507294
005507476,005507468
005507781,005507294
005507781,005507468
005508078,005507260
005508276,005506288
005508284,005506288
005508318,005506288
005508342,005503350
005508342,005506288
005508458,005503491
005510017,002232030
005510017,004302246
005510017,004302329
005510017,004302725
005510017,005103865
005510017,005310017
005510017,005310770
005510017,005311906
005510017,005321834
005510017,005330691
005510017,005332015
005510017,005433425
005510017,005457076
005510017,005501289
005510017,005501362
005510017,005506288
005510017,005506437
005510017,005507294
005510017,005510033
005510017,005511122
005510017,005511130
005510017,005511163
005510017,005511205
005510017,005511296
005510017,005511387
005510017,005511601
005510017,005511643
005510017,005512096
005510017,005512401
005510017,005512781
005510017,005513482
005510017,005513748
005510017,005514019
005510017,005514522
005510017,005514563
005510017,005518036
005510017,005518069
005510017,005613600
005510017,007872480
005510017,007876660
005510017,007942300
005510017,007944352
005510017,008001093
005510017,008020347
005510017,008031922
005510017,008101003
005510017,008101114
005510017,008103171
005510017,008503000
005510033,002232030
005510033,002238000
005510033,005103865
005510033,005310017
005510033,005310770
005510033,005311906
005510033,005321834
005510033,005332015
005510033,005433295
005510033,005433425
005510033,005455659
005510033,005457076
005510033,005501404
005510033,005501438
005510033,005501453
005510033,005501511
005510033,005510017
005510033,005510447
005510033,005510504
005510033,005510835
005510033,005511387
005510033,005513482
005510033,005513664
005510033,005513722
005510033,005513748
005510033,005513821
005510033,005513912
005510033,005514019
005510033,005514175
005510033,005515495
005510033,005516840
005510033,005516881
005510033,005516915
005510033,005517111
005510033,005517228
005510033,005518572
005510033,008006050
005510033,008031922
005510074,005501404
005510074,005501438
005510124,005501511
005510140,005433295
005510140,005457076
005510140,005510447
005510140,005510504
005510173,005330691
005510173,005501024
005510173,005503160
005510173,005503178
005510173,005503269
005510173,005503491
005510173,005513664
005510173,005513722
005510173,005513748
005510173,005516824
005510173,005516881
005510173,005516915
005510207,005501453
005510447,005510033
005510447,005510140
005510447,005510645
005510447,005510694
005510447,005510967
005510447,005511163
005510447,005511205
005510504,005503491
005510504,005510033
005510504,005510140
005510645,005510447
005510694,005510447
005510694,005510967
005510835,005510033
005510967,005510447
005510967,005510694
005510967,005511163
005510967,005511205
005511122,005510017
005511130,005510017
005511163,005510017
005511163,005510447
005511163,005510967
005511205,005510017
005511205,005510447
005511205,005510967
005511205,005511296
005511205,005511809
005511205,005511924
005511205,005512096
005511205,005512401
005511205,005513748
005511239,005511296
005511239,005511692
005511239,005512039
005511239,005513748
005511288,005512310
005511288,005513821
005511296,005510017
005511296,005511205
005511296,005511239
005511296,005511387
005511296,005511445
005511296,005512401
005511296,005513482
005511296,005513912
005511296,005514019
005511296,005514522
005511296,005514555
005511387,005503491
005511387,005510017
005511387,005510033
005511387,005511296
005511387,005511445
005511387,005512781
005511387,005512880
005511387,005512963
005511387,005513045
005511387,005513243
005511387,005513482
005511387,005514019
005511387,005613600
005511445,005511296
005511445,005511387
005511445,005513300
005511445,005513482
005511445,005514019
005511494,005514860
005511601,005510017
005511643,005510017
005511643,005513748
005511692,005511239
005511692,005512039
005511809,005511205
005511924,005511205
005512039,005511239
005512039,005511692
005512039,005513748
005512096,005510017
005512096,005511205
005512310,005511288
005512310,005512344
005512310,005513821
005512344,005512310
005512401,005510017
005512401,005511205
005512401,005511296
005512401,005512492
005512492,005512401
005512781,005510017
005512781,005511387
005512880,005511387
005512963,005511387
005513045,005511387
005513243,005511387
005513300,005511445
005513482,005510017
005513482,005510033
005513482,005511296
005513482,005511387
005513482,005511445
005513664,005510033
005513664,005510173
005513722,005510033
005513722,005510173
005513722,005513748
005513722,005517111
005513748,005503491
005513748,005504309
005513748,005510017
005513748,005510033
005513748,005510173
005513748,005511205
005513748,005511239
005513748,005511643
005513748,005512039
005513748,005513722
005513748,005513912
005513748,005514019
005513748,005514175
005513748,005517111
005513748,005517285
005513748,005517848
005513748,005518036
005513748,005518069
005513748,005518184
005513748,005518572
005513821,005510033
005513821,005511288
005513821,005512310
005513847,005513912
005513862,005332663
005513862,005513912
005513862,005514019
005513862,005514175
005513862,005514449
005513862,005518457
005513862,005518465
005513912,005341638
005513912,005345452
005513912,005510033
005513912,005511296
005513912,005513748
005513912,005513847
005513912,005513862
005513912,005514019
005513912,005514175
005513912,005514563
005513912,005514860
005513912,005514977
005513912,005515024
005513912,005515040
005513912,005515180
005513912,005515495
005513912,005515826
005513912,005515990
005514019,002238000
005514019,005503350
005514019,005510017
005514019,005510033
005514019,005511296
005514019,005511387
005514019,005511445
005514019,005513748
005514019,005513862
005514019,005513912
005514019,005514175
005514019,005514860
005514019,005515495
005514019,005515933
005514175,002238010
005514175,005503491
005514175,005504309
005514175,005510033
005514175,005513748
005514175,005513862
005514175,005513912
005514175,005514019
005514175,005515495
005514175,005515768
005514175,005515826
005514175,005515933
005514449,005513862
005514466,005515180
005514522,005510017
005514522,005511296
005514522,005514563
005514522,005515180
005514555,005511296
005514563,005510017
005514563,005513912
005514563,005514522
005514670,005514860
005514860,005511494
005514860,005513912
005514860,005514019
005514860,005514670
005514977,005513912
005515024,005513912
005515040,005513912
005515180,005513912
005515180,005514466
005515180,005514522
005515453,005515495
005515495,005510033
005515495,005513912
005515495,005514019
005515495,005514175
005515495,005515453
005515495,005515768
005515495,005515826
005515495,005515933
005515495,005515990
005515719,005515933
005515768,005514175
005515768,005515495
005515768,005515826
005515768,005515933
005515826,005513912
005515826,005514175
005515826,005515495
005515826,005515768
005515933,005514019
005515933,005514175
005515933,005515495
005515933,005515719
005515933,005515768
005515990,005513912
005515990,005515495
005516618,005516709
005516709,005501016
005516709,005501024
005516709,005503269
005516709,005505926
005516709,005506189
005516709,005506684
005516709,005506742
005516709,005506767
005516709,005507146
005516709,005516618
005516758,005517111
005516758,005517137
005516824,005510173
005516824,005516915
005516840,005510033
005516881,005510033
005516881,005510173
005516881,005517111
005516915,005510033
005516915,005510173
005516915,005516824
005516915,005517111
005516956,005517111
005517111,005510033
005517111,005513722
005517111,005513748
005517111,005516758
005517111,005516881
005517111,005516915
005517111,005516956
005517111,005517137
005517111,005517228
005517111,005517285
005517111,005517749
005517137,005516758
005517137,005517111
005517137,005517152
005517137,005517228
005517137,005517285
005517137,005518184
005517137,005518572
005517137,005518614
005517152,005517137
005517228,005503491
005517228,005510033
005517228,005517111
005517228,005517137
005517228,005518036
005517228,005518614
005517228,005518697
005517228,007223450
005517285,005513748
005517285,005517111
005517285,005517137
005517749,005517111
005517806,005518184
005517848,005513748
005517848,005518036
005517848,005518069
005517848,005518259
005517848,005518317
005517848,005518614
005517848,005519166
005517863,005518465
005518036,005335407
005518036,005504598
005518036,005510017
005518036,005513748
005518036,005517228
005518036,005517848
005518036,005518069
005518036,005518465
005518036,005518614
005518036,005518747
005518036,005519166
005518051,005518069
005518051,005519166
005518069,005510017
005518069,005513748
005518069,005517848
005518069,005518036
005518069,005518051
005518135,005518184
005518184,005513748
005518184,005517137
005518184,005517806
005518184,005518135
005518184,005518317
005518184,005518572
005518184,005518614
005518259,005517848
005518317,005517848
005518317,005518184
005518317,005518614
005518358,005519166
005518457,005513862
005518465,005335407
005518465,005513862
005518465,005517863
005518465,005518036
005518572,005510033
005518572,005513748
005518572,005517137
005518572,005518184
005518614,005517137
005518614,005517228
005518614,005517848
005518614,005518036
005518614,005518184
005518614,005518317
005518614,005519166
005518697,005517228
005518747,005335407
005518747,005518036
005519166,005517848
005519166,005518036
005519166,005518051
005519166,005518358
005519166,005518614
005519166,005519281
005519281,005519166
005546847,005546912
005546912,005546847
005549338,005549452
005549437,005549452
005549445,005549452
005549452,005549338
005549452,005549437
005549452,005549445
005613600,005510017
005613600,005511387
005614576,004301974
005614576,005501362
005614616,004301974
005614616,005501362
007223450,005517228
007871705,005507294
007871705,005507468
007872480,005501016
007872480,005501024
007872480,005510017
007876660,005510017
007942300,005501016
007942300,005501024
007942300,005503996
007942300,005510017
007942300,008103171
007943777,005504895
007944352,005510017
008001093,005510017
008006050,005510033
008020347,005501024
008020347,005510017
008031922,005510017
008031922,005510033
008101003,002232030
008101003,002238010
008101003,004302667
008101003,005310017
008101003,005341638
008101003,005501024
008101003,005501289
008101003,005501362
008101003,005510017
008101003,008103199
008101003,008103282
008101003,008133214
008101114,005501024
008101114,005510017
008102974,004302667
008102974,005501289
008102974,005501362
008102976,005501362
008103006,008133028
008103171,005501024
008103171,005510017
008103171,007942300
008103199,008101003
008103217,008103282
008103282,008101003
008103282,008103217
008103282,008133214
008133028,008103006
008133214,008101003
008133214,008103282
008503000,005501024
008503000,005510017
